Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
33.37988877296448	0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-1.9921242e-06	-1.9921242e-06	-0.68865734	0.047728643	0.0035865838	0.0022443156	0.68901604	30049	30049
64.68566703796387	1	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	1.2261599e-05	1.2261599e-05	-0.691806	0.023387378	0.0012324149	0.0003774852	0.6919293	30049	60098
94.93108654022217	2	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-7.33258e-06	-7.33258e-06	-0.6966994	0.034725096	0.0022967656	0.0010164218	0.6969291	30049	90147
125.01021981239319	3	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	5.706565e-06	5.706565e-06	-0.6914338	0.017283784	0.00024505577	0.00011915792	0.6914582	30049	120196
155.46632885932922	4	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	4.350137e-06	4.350137e-06	-0.6940282	0.0075468505	0.00017792126	0.00011653436	0.6940459	30049	150245
185.6148920059204	5	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-4.515295e-06	-4.515295e-06	-0.6934799	0.0063953334	0.00010469172	0.00014021771	0.6934904	30049	180294
215.25875282287598	6	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-1.0432512e-06	-1.0432512e-06	-0.6934595	0.004745575	2.4259782e-05	1.6078908e-05	0.69346195	30049	210343
245.4131863117218	7	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00014526675	0.00014526675	-0.6364268	0.21644697	0.26003197	0.29754922	0.6624299	30049	240392
275.6973547935486	8	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00049259944	0.00049259944	-0.5706567	0.46855876	0.59966886	0.31427953	0.6306236	30049	270441
305.88104796409607	9	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0007212388	0.0007212388	-0.45200258	0.45675477	0.79715896	0.3673285	0.5317185	30049	300490
335.8780605792999	10	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0009590829	0.0009590829	-0.4892957	0.581339	0.84405994	0.34164867	0.5737017	30049	330539
