Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
994.4421465396881	40	2.8090453	13.543294	88.0	0.0	151.0	0.0	0.018602949	0.018602949	0.018602949	0.018602949	30049	1232009
1018.6045124530792	41	4.6381907	16.026665	81.0	0.0	151.0	0.0	0.030716496	0.030716496	0.030716496	0.030716496	30049	1262058
1041.275724887848	42	5.0603013	16.735794	79.0	0.0	151.0	0.0	0.03351193	0.03351193	0.03351193	0.03351193	30049	1292107
1064.2312610149384	43	4.603015	16.457594	87.0	0.0	151.0	0.0	0.030483544	0.030483544	0.030483544	0.030483544	30049	1322156
1087.4450595378876	44	4.0100503	15.455232	89.0	0.0	151.0	0.0	0.026556624	0.026556624	0.026556624	0.026556624	30049	1352205
1110.7784798145294	45	2.281407	12.341098	80.0	0.0	151.0	0.0	0.015108656	0.015108656	0.015108656	0.015108656	30049	1382254
1133.7958884239197	46	2.0100503	11.231234	84.0	0.0	151.0	0.0	0.013311591	0.013311591	0.013311591	0.013311591	30049	1412303
1156.7283537387848	47	2.3316584	10.760086	71.0	0.0	151.0	0.0	0.015441446	0.015441446	0.015441446	0.015441446	30049	1442352
1179.8940143585205	48	0.4522613	3.834056	39.0	0.0	151.0	0.0	0.002995108	0.002995108	0.002995108	0.002995108	30049	1472401
1203.8061456680298	49	1.2110553	7.5372233	65.0	0.0	151.0	0.0	0.008020233	0.008020233	0.008020233	0.008020233	30049	1502450
1229.753187417984	50	2.0502512	10.685899	78.0	0.0	151.0	0.0	0.013577823	0.013577823	0.013577823	0.013577823	30049	1532499
1256.6556243896484	51	1.3417085	9.223295	80.0	0.0	151.0	0.0	0.008885487	0.008885487	0.008885487	0.008885487	30049	1562548
1284.4082601070404	52	1.0552764	7.904071	78.0	0.0	151.0	0.0	0.0069885855	0.0069885855	0.0069885855	0.0069885855	30049	1592597
1314.1379528045654	53	0.59799	5.785895	58.0	0.0	151.0	0.0	0.0039601983	0.0039601983	0.0039601983	0.0039601983	30049	1622646
1338.4756774902344	54	0.8743719	6.6573944	63.0	0.0	151.0	0.0	0.0057905423	0.0057905423	0.0057905423	0.0057905423	30049	1652695
1362.8687283992767	55	0.7386935	6.59999	78.0	0.0	151.0	0.0	0.00489201	0.00489201	0.00489201	0.00489201	30049	1682744
1393.2855770587921	56	1.5527638	8.973775	75.0	0.0	151.0	0.0	0.010283204	0.010283204	0.010283204	0.010283204	30049	1712793
1416.7911145687103	57	0.13065326	1.3902079	18.0	0.0	151.0	0.0	0.00086525345	0.00086525345	0.00086525345	0.00086525345	30049	1742842
1443.2565965652466	58	0.12562814	1.7677454	25.0	0.0	151.0	0.0	0.00083197444	0.00083197444	0.00083197444	0.00083197444	30049	1772891
