Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
12.465061664581299	0	-293.08040379018604	-15.09885812100694	44.91749170849819	-169.5104921737287	-438.7981728080057	20.0	0.0	252	10080	-295.8723979853881	-14.981407099725478
22.24748206138611	1	-292.7015098072034	-14.973463660044306	48.87273295090249	-145.2967365381383	-425.98924369401874	20.0	0.0	252	20160	-272.82511594540665	-13.819241565732241
31.571887493133545	2	-293.3332679883833	-15.263115107205117	46.890792465224806	-160.13572067624602	-430.7650414128443	20.0	0.0	252	30240	-296.1947002075858	-15.289281435782394
41.471089363098145	3	-288.3576016652154	-14.741167951031207	49.93486519645169	-158.79830204820814	-441.859898463498	20.0	0.0	252	40320	-280.2589756765994	-14.102988872189892
51.12123942375183	4	-284.8072282980434	-14.46678438156024	50.61838094981275	-101.51272121794024	-443.8824665578368	20.0	0.0	252	50400	-284.2540583796828	-14.767003263507524
60.995041847229004	5	-283.7327189725608	-14.205180175779484	49.8997280129689	-129.8512697137524	-444.91943563950304	20.0	0.0	252	60480	-275.9966729035929	-13.253172544238225
70.69434332847595	6	-282.0244058620832	-14.019180028497813	49.530345105758535	-121.11919876065699	-429.8284748105021	20.0	0.0	252	70560	-275.50853622256045	-13.48909248445049
80.77038049697876	7	-277.4105503380033	-13.768555282526888	49.23829039818879	-122.22566377579302	-400.0517795586251	20.0	0.0	252	80640	-273.73472643188865	-14.07247672052452
91.62702989578247	8	-274.44951912355936	-13.318633380237	45.87470009687167	-107.40304913404437	-416.5588994620315	20.0	0.0	252	90720	-260.6927423291402	-12.44681515352036
103.28394603729248	9	-264.26859320817164	-12.554671077489191	48.943390509114344	-136.5483212854082	-425.49595544268686	20.0	0.0	252	100800	-262.2626044745684	-12.697996902250429
114.14946556091309	10	-258.65082343054803	-11.92579673551428	46.77827730496546	-132.95346868219318	-383.7445934621767	20.0	0.0	252	110880	-247.33458894543682	-11.016442152202856
124.98876118659973	11	-249.44284070969923	-11.341224323144184	49.45384115792749	-109.38998758913213	-374.30541838308045	20.0	0.0	252	120960	-235.5876196836875	-10.504288596752268
134.7436294555664	12	-245.01861087083577	-10.722792744241259	48.29418824976372	-128.47321018789395	-431.21138674035626	20.0	0.0	252	131040	-237.10904798596138	-10.293697038207831
144.34091687202454	13	-236.38504736343765	-10.177705462777608	47.72854460312423	-108.68052077229119	-384.2913204611944	20.0	0.0	252	141120	-227.82092460266063	-9.288606062157525
154.66073441505432	14	-228.76330449238665	-9.408840196986118	48.39044153130916	-114.97178254408347	-390.4114924266383	20.0	0.0	252	151200	-211.0994234256706	-8.316714591439705
164.51596474647522	15	-214.0643684304484	-8.394970577405466	45.95993159605853	-109.13987853502164	-373.6601166597665	20.0	0.0	252	161280	-199.76602691339858	-7.4087521404524415
175.2576026916504	16	-203.08718977303405	-7.515195344880313	45.446927273107875	-91.43728278962031	-403.5542270403834	20.0	0.0	252	171360	-188.80402962016902	-6.460409896222475
186.36712288856506	17	-193.25098205069582	-7.152635741892599	43.76903114733165	-96.28246707093192	-350.72183417835316	20.0	0.0	252	181440	-184.5142974721059	-6.558942287190024
195.86605978012085	18	-179.84825234789525	-6.182039681355794	36.935908827142335	-95.32427874218993	-305.8790057033174	20.0	0.0	252	191520	-174.23970892650235	-5.976008318873087
205.2620346546173	19	-176.98363256180255	-6.047182776936851	36.09022606796898	-97.68628208469951	-339.08350199703375	20.0	0.0	252	201600	-170.7517977107378	-5.260261786120314
214.48699355125427	20	-167.9200099150752	-5.482468932173328	35.31249244417062	-89.94169994049808	-300.72130976239214	20.0	0.0	252	211680	-154.3980752144716	-5.21656210951523
223.81435990333557	21	-162.42167915164418	-5.132299563486312	37.71214276359399	-87.99238600533364	-322.77934481171366	20.0	0.0	252	221760	-156.65988411165017	-4.949465343842177
233.11611461639404	22	-155.0165260325199	-4.906199198805322	33.71646356927087	-75.4732530613566	-293.8588350058618	20.0	0.0	252	231840	-144.19919392393084	-4.946961488077643
242.30150866508484	23	-146.2662320711158	-4.3923843061485774	29.963226776854093	-80.0374752212077	-277.56830634453644	20.0	0.0	252	241920	-139.6074250526966	-4.13576090281617
252.1203236579895	24	-139.8990219619561	-4.150542061223982	31.85125337457205	-73.27107655241326	-312.29766626758203	20.0	0.0	252	252000	-137.7321946597714	-3.7287680023045566
262.2087388038635	25	-134.91734370736583	-3.9155397247308863	30.88943810349064	-73.1776133320388	-265.8519197003107	20.0	0.0	252	262080	-131.08212456647752	-3.6496357042399015
271.43851137161255	26	-128.6015761959064	-3.528280526482994	28.044316444698904	-68.14747520351142	-252.4755774611101	20.0	0.0	252	272160	-123.46665260719942	-3.1339801169000903
281.222767829895	27	-120.98001576678935	-3.3921487807322155	26.204754983956988	-74.69042889218784	-259.419668987112	20.0	0.0	252	282240	-121.51487131724991	-3.2775463183132385
290.9916775226593	28	-116.78693270831	-3.1505223879542963	23.210133909768064	-52.460999573384704	-210.52375420803716	20.0	0.0	252	292320	-112.47855987882535	-2.9755842961378742
301.13338136672974	29	-113.25208976306777	-3.063611310977647	24.645189850227393	-65.27272154395942	-222.55396932071844	20.0	0.0	252	302400	-107.12846389844555	-2.9279234964737206
311.35046219825745	30	-108.37415155318122	-2.8008583823434376	23.889234836474284	-65.59963451967893	-327.2797534069272	20.0	0.0	252	312480	-107.33607488936256	-2.832884465984234
321.1553475856781	31	-102.45549048105198	-2.657845180092259	19.307943303483768	-55.570412089445156	-198.81987066188736	20.0	0.0	252	322560	-103.12182996151273	-2.7777639755626122
331.8656692504883	32	-101.77910509559979	-2.650687367699924	20.798102030963182	-62.99111459337096	-206.7326312644159	20.0	0.0	252	332640	-94.85915040997581	-2.1378022049779184
343.026816368103	33	-98.20351591200227	-2.4668106654971536	22.18008864276058	-62.20828873452008	-334.9537310690551	20.0	0.0	252	342720	-92.2417818577331	-2.0916624830673167
353.09245252609253	34	-91.8476314706315	-2.242885031827611	16.898063495757107	-56.19778959415155	-160.6060314922461	20.0	0.0	252	352800	-90.50637920369162	-2.2955903632689645
364.5856592655182	35	-90.28020826865233	-2.3431670973413192	19.081429432929113	-53.23055891178477	-211.35272046002655	20.0	0.0	252	362880	-89.92408533782934	-2.2341779113367437
374.132967710495	36	-88.69840413667265	-2.1727599934888824	17.478585243389293	-45.0800143011768	-191.78429526226284	19.977083333333333	0.5015557393971503	252	372960	-85.73823203887945	-2.2442752390922096
383.2271363735199	37	-84.82457593678097	-2.1391174918915334	14.51134156337259	-54.231648815919975	-166.35776864505405	20.0	0.0	252	383040	-82.197601829612	-1.7059861888951096
392.37971544265747	38	-83.22072294263725	-1.99497863107877	18.84495460565417	-53.45386604559447	-196.99779046398976	20.0	0.0	252	393120	-79.10574888038205	-1.9281146461900878
401.62128591537476	39	-80.24675938881903	-1.908991916357897	16.198149771462305	-50.524411565234686	-166.46415600597507	20.0	0.0	252	403200	-80.32948015568378	-1.965786732495598
411.18506264686584	40	-76.94661357980377	-1.900255696616466	14.150043492768859	-50.7622874353341	-164.70580394487786	20.0	0.0	252	413280	-78.48597972617678	-1.9408706953418882
420.4416604042053	41	-76.30069967043204	-1.8588179889959362	14.297525265809977	-42.18447595021432	-138.59740265740967	20.0	0.0	252	423360	-79.20508605701895	-1.7699140149490262
429.56284379959106	42	-74.53781741345361	-1.8481823433589466	15.013296008641383	-48.60281312742511	-181.52388051618505	20.0	0.0	252	433440	-73.6147235343587	-1.8650037386177285
438.7049512863159	43	-70.4224054621527	-1.6837850236792637	12.187109073910278	-45.02362870651496	-152.22707650127933	20.0	0.0	252	443520	-73.35273270231282	-1.7945427909656313
