,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-143.86620988450005,-115.09760886634345,-184.71166618878544,23.713593439681016,,
1,0,-51.51786188874753,-11.244425646818272,-113.51367766922134,32.661974692851025,0.027068568393588066,1.0544636249542236
2,1,99.3668751640574,169.35180087228406,52.14493957672873,35.85521008696656,0.022708382457494736,0.05316251516342163
3,2,148.2824912958908,207.46093508586577,69.20964208048628,36.606893253223056,0.019053492695093155,0.023147031664848328
4,3,264.1152305001177,306.1779392976383,195.86939744714624,35.3195275965934,0.010911347344517708,0.01807558164000511
5,4,271.5375791415033,356.95563666271045,207.52539037081766,42.70020563758259,0.009894673712551594,0.012476839125156403
6,5,273.5426903136972,355.00875672151204,203.89237356878698,46.07621332152218,0.008492803201079369,0.009966369718313217
7,6,267.38080665622886,377.72389286114577,175.48718762192271,53.54145710364007,0.008296334184706211,0.009075181558728218
8,7,288.127387444979,360.4348234995751,173.8545794604167,54.761118418752275,0.004905853420495987,0.007664060685783625
9,8,315.4573499650774,388.1998453651055,268.9399889377363,36.999373685047736,0.00958225131034851,0.007862014696002007
10,9,297.1392909490905,352.8761632075871,228.2733663773871,36.379578019095604,0.00805820431560278,0.006970888469368219
11,10,307.6599320543175,389.12902520956567,246.29904203020044,40.86290263959087,0.005353986751288176,0.007221601903438568
