,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-160.5218464064013,-111.15709735349634,-227.09337765322078,35.12861333541117,,
1,0,-21.081649338501915,25.856385911347147,-55.738055824360686,24.593119268718514,0.027456585317850113,1.0455360412597656
2,1,11.81209258180933,49.67716954439269,-16.458293721475762,21.764623602181018,0.019582586362957954,0.039050616323947906
3,2,63.66012292082782,102.17259406638824,20.29054962316394,27.29570126127759,0.01195844728499651,0.01818648912012577
4,3,63.285329152185945,106.07146639531862,16.28567086162566,30.434315651577467,0.014840406365692616,0.01255994476377964
5,4,75.24101940160395,128.93488622598593,37.44611542108083,29.19805590419774,0.007931802421808243,0.010838206857442856
6,5,86.33904191430867,115.76206923168805,60.64024361143649,14.960806941345362,0.0066407364793121815,0.0076476940885186195
7,6,96.14318119019872,162.82209197541346,60.82001119357649,32.50957584536856,0.004643495660275221,0.007392476312816143
8,7,104.99527574038905,156.39987022027046,64.57042572260242,32.31080183575224,0.0031661726534366608,0.006233404390513897
9,8,116.53278899364909,172.2891854519703,42.733628342030684,41.38620225343798,0.0044260816648602486,0.005048404447734356
10,9,125.91869205673916,200.81712697327902,51.18109060915454,38.36817974041966,0.004273064900189638,0.004795996937900782
11,10,111.08571080407243,146.93316307073934,76.55359982637898,24.06716953705651,0.0030791261233389378,0.0042009358294308186
