,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-144.87692076948994,-78.88739157364348,-243.54913934390325,58.59425727797873,,
1,0,90.52653329356507,151.28742107235882,43.85171850217013,30.68750673801105,0.007535574026405811,0.9774264097213745
2,1,284.27121677254553,322.8650068044956,220.15382402098072,28.100203457609727,0.00378225720487535,0.03637895733118057
3,2,292.20534003555474,329.3145616902949,256.94500807500225,22.286963120010633,0.002896783873438835,0.009694771841168404
4,3,344.8755573254266,410.25990160242463,281.2614623315955,38.922476510250725,0.0018951520323753357,0.005843016318976879
5,4,380.508149459373,425.4128687070713,343.56081125800426,29.66788794304069,0.0019535431638360023,0.010169228538870811
6,5,395.63326788736265,476.2078313020052,349.22793083381066,37.57577734844474,0.0018314402550458908,0.003906227182596922
7,6,362.0704431188639,422.136828515902,311.56250920233146,36.43934202709604,0.0012096629943698645,0.002542740199714899
8,7,384.4197730900271,422.77066850579945,308.3057334723253,27.701389109605458,0.0008407250861637294,0.001722433022223413
9,8,374.4630601086108,438.3590739929509,304.53898873469404,42.3123291928967,0.0010946654947474599,0.0011894121998921037
10,9,392.74485957184487,469.8769097748277,335.23426177667443,41.35357591287791,0.0009270845330320299,0.0010164298582822084
11,10,416.2804617194064,478.41340142665763,325.44114990514794,44.02564234471221,0.0013504291418939829,0.0009543324122205377
