,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-146.88612344100616,-87.69387004625351,-221.58945810496897,32.32915190526128,,
1,0,-16.42084806275387,18.26174927519753,-81.42735997393058,30.127588769114208,0.030080635100603104,1.0286767482757568
2,1,111.1595178596883,138.80006615146863,59.577389870089874,20.673719194544763,0.018533047288656235,0.04625043645501137
3,2,242.69172294299818,269.5507925677729,189.64911317451333,24.523327591470505,0.013717498630285263,0.02180495671927929
4,3,261.05200049827664,313.741543630286,170.67254148452946,39.46927931592645,0.036284852772951126,0.017483077943325043
5,4,278.5611156643069,313.7638960271884,232.55277401653308,31.938804617090522,0.00999927893280983,0.012984925881028175
6,5,355.86884660262336,436.7958049542093,288.01420995737556,40.25601640880718,0.007391280960291624,0.013538089580833912
7,6,389.1199218955645,454.9728776525311,326.55605558066895,43.244400731600905,0.008207367733120918,0.012073507532477379
8,7,389.1274140450647,508.90484882906804,307.9204048246841,56.61802211522697,0.007977616041898727,0.010051341727375984
9,8,372.70109220754773,411.0515374991743,346.60385565510194,21.601826275744394,0.006924774963408709,0.007776799611747265
10,9,391.075687296105,455.52769873729187,341.3211857609716,36.99040234185147,0.005676232278347015,0.006634256802499294
11,10,432.1411841572875,523.3557305285667,350.50538396316733,44.24958439778402,0.0058531141839921474,0.008584286086261272
