,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-138.00928151503769,-84.25590493561927,-165.66736637485855,23.3835013751879,,
1,0,-18.063570885479542,34.51772759655732,-38.58820278775355,19.943669739883052,0.03334924951195717,1.0255472660064697
2,1,78.4062659403606,105.11150107223474,42.160120453592405,19.297810602401405,0.019915413111448288,0.04491035267710686
3,2,200.9417574292637,253.26791492196972,161.51401764389624,31.019125997958135,0.014049344696104527,0.028250789269804955
4,3,253.88461956320157,317.6704438453651,220.5952673934422,28.827280080149567,0.005684210918843746,0.016358256340026855
5,4,321.77786729604765,388.1372172708284,212.5270410033271,55.67179711214117,0.013448779471218586,0.014787915162742138
6,5,375.57136489461493,446.1704759391156,279.5985988141223,56.754493882923335,0.00913475826382637,0.014623239636421204
7,6,378.09472916373943,442.04395909379355,301.64556271109916,50.76673859659688,0.01038680225610733,0.010024293325841427
8,7,362.84939090828874,434.24686636369336,294.85135179339886,49.90189807832739,0.008519338443875313,0.008696381002664566
9,8,387.96206220297273,467.40417012008703,315.27315321776985,44.871773511331945,0.007020771969109774,0.006957031786441803
10,9,396.44886660427426,486.6782593359277,326.169298997636,42.856831253102825,0.007544269319623709,0.009288841858506203
11,10,396.660398770012,486.4762193747937,339.51290151415344,40.47752254167688,0.005747443996369839,0.007960299029946327
